Date,Sent,Opened,Unique Opened,Replies,Unique Replies,Clicks,Unique Clicks
2026-08-03,25,0,0,0,0,0,0
2026-08-04,30,0,0,0,0,0,0
2026-08-05,35,0,0,3,1,0,0
2026-08-06,40,0,0,0,0,0,0
2026-08-07,45,0,0,0,0,0,0
2026-08-08,0,0,0,1,1,0,0
2026-08-10,50,0,0,2,1,0,0
2026-08-11,60,0,0,0,0,0,0
2026-08-12,60,0,0,4,1,0,0
2026-08-13,60,0,0,0,0,0,0
2026-08-14,60,0,0,0,0,0,0
2026-08-17,60,0,0,0,0,0,0
2026-08-18,60,0,0,0,0,0,0
2026-08-19,60,0,0,0,0,0,0
2026-08-20,60,0,0,0,0,0,0
2026-08-21,60,0,0,0,0,0,0
2026-08-24,60,0,0,0,0,0,0
2026-08-25,70,0,0,0,0,0,0
2026-08-26,80,0,0,0,0,0,0
2026-08-27,80,0,0,0,0,0,0
2026-08-28,80,0,0,0,0,0,0
2026-08-31,80,0,0,0,0,0,0
2026-09-01,80,0,0,0,0,0,0
2026-09-02,80,0,0,3,1,0,0
2026-09-03,100,0,0,1,1,0,0
2026-09-04,100,0,0,0,0,0,0
2026-09-07,100,0,0,0,0,0,0
2026-09-08,100,0,0,0,0,0,0
2026-09-09,100,0,0,0,0,0,0
2026-09-10,100,0,0,0,0,0,0
2026-09-11,100,0,0,0,0,0,0
2026-09-14,100,0,0,0,0,0,0
2026-09-15,94,0,0,0,0,0,0
2026-09-16,64,0,0,0,0,0,0
2026-09-17,42,0,0,0,0,0,0
2026-09-18,30,0,0,0,0,0,0
2026-09-21,19,0,0,0,0,0,0
