Date,Sent,Opened,Unique Opened,Replies,Unique Replies,Clicks,Unique Clicks
2026-07-10,30,0,0,0,0,0,0
2026-07-13,30,0,0,2,1,0,0
2026-07-14,30,0,0,0,0,0,0
2026-07-15,30,0,0,0,0,0,0
2026-07-17,10,0,0,0,0,0,0
2026-07-18,216,0,0,0,0,0,0
2026-07-19,44,0,0,0,0,0,0
2026-07-20,438,0,0,4,2,0,0
2026-07-21,508,0,0,2,2,0,0
2026-07-22,503,0,0,4,4,0,0
2026-07-23,491,0,0,3,1,0,0
2026-07-24,514,0,0,4,3,0,0
2026-07-25,383,0,0,0,0,0,0
2026-07-26,386,0,0,2,2,0,0
2026-07-27,214,0,0,2,1,0,0
2026-07-28,69,0,0,0,0,0,0
2026-07-29,104,0,0,0,0,0,0
2026-07-30,123,0,0,0,0,0,0
2026-07-31,233,0,0,1,1,0,0
2026-08-01,197,0,0,0,0,0,0
2026-08-02,202,0,0,1,1,0,0
2026-08-03,112,0,0,0,0,0,0
2026-08-04,0,0,0,1,1,0,0
2026-08-17,0,0,0,1,1,0,0
